artists,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,4AOpEhqA7zHxQjkHmRrAp7,0.79,0.705,0,-4.684,0,0.0383,0.0807,4.81e-05,0.251,0.501,121.969
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),2E43WFS4rRc09za2r2GmZl,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99
A$AP Rocky,Goldie,4go2hxLM6ijk0K76ZY0Nhd,0.68,0.843,1,-4.919,1,0.241,0.22,3.02e-05,0.378,0.743,81.958
Big Boi,Shutterbugg,6B1biVucoJWIdbKD2tZ8Yp,0.485,0.925,1,-4.315,1,0.372,0.216,0,0.175,0.479,85.912
Gusttavo Lima,Balada - Ao Vivo,7h94Gugaor1PCxYJ09kW5W,0.681,0.949,11,-4.302,0,0.0566,0.167,0,0.832,0.832,128.017
Pitbull,Hotel Room Service,32yIEFS62uS5ryhr2Xlooj,0.849,0.599,6,-8.164,1,0.227,0.00301,0.000249,0.0763,0.761,126.003
Far East Movement,Turn Up The Love,5gK6vM9QeVerf07PHsnGCd,0.752,0.872,6,-4.186,1,0.117,0.12,0,0.234,0.677,123.888
G-Eazy,Random,422lAAWQO9TqL1LxIPdhOn,0.603,0.783,9,-6.891,1,0.138,0.00353,0,0.216,0.182,87.154
AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
French Montana,Freaks,0wpYoahTjbbM3gFwQWRBfL,0.771,0.895,9,-4.805,1,0.253,0.0499,0,0.571,0.771,96.576
Russ,Goodbye,0e8CxZ3UlZIIV3ZRkzHN34,0.747,0.383,8,-12.404,0,0.0398,0.367,0,0.179,0.497,112.445
Alesso,Heroes (We Could Be),5vLOVP3M0Vg2FaYJnUcrvm,0.527,0.746,5,-4.067,1,0.0671,0.0269,0,0.196,0.38,125.907
Woodkid,Run Boy Run,2YhapA5E1qTZ1Ykw9Y86ql,0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996
Pat Benatar,Heartbreaker,7Crfr7SSFmcxNXi64fKEaB,0.463,0.802,1,-2.184,1,0.078,0.0628,1.94e-05,0.487,0.733,156.205
Ricky Martin,Drop It On Me,6TzvmABelqo8iUgkA50gpf,0.759,0.86,5,-5.701,0,0.0876,0.0346,0.000211,0.341,0.526,100.002
Bruno Mars,Chunky,0mBKv9DkYfQHjdMcw2jdyI,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103
Bruno Mars,Locked out of Heaven,5PsMbxhgWpJMsouEfDTX6r,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2LNbLA2JSQlv6NRz1xdZRj,0.722,0.76,9,-4.459,1,0.0478,0.0118,0,0.294,0.627,128.018
Ludacris,Rollout (My Business),4SyadrABZJIjeND1HPJS31,0.921,0.668,7,-8.73,1,0.235,0.0949,0,0.592,0.892,131.059
Gee Dixon,Shouf Remix,0MkNKegiXN9ut0qMpCbhj1,0.816,0.767,2,-8.11,1,0.261,0.207,0,0.219,0.773,131.957
Sigala,Give Me Your Love (feat. Nile Rodgers),4CWZOyb9YHIH06yfsvY6k1,0.635,0.945,2,-2.298,1,0.036,0.00411,2.41e-05,0.314,0.686,125.024
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",6u5M4jPpYkoRV4vVHDQvkd,0.549,0.791,10,-3.535,1,0.133,0.0104,0,0.444,0.292,150.093
Sérgio Mendes,One Nation,3RK2B7C7SmeJnoPDDzwwnS,0.732,0.941,9,-5.091,0,0.0743,0.0915,6.44e-06,0.167,0.764,120.034
Pitbull,"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",4eRrRWQ06cnqhXUwJOOnKJ,0.648,0.97,2,-4.308,1,0.0691,0.00763,3.27e-06,0.21,0.549,119.961
Empire Cast,Boom Boom Boom Boom,14HfylTeGczmv6EFDU9TU9,0.817,0.767,9,-6.474,1,0.0998,0.0159,8.64e-06,0.048,0.358,97.979
Francesca Maria,The Bombay,56DNBwLrFJPmnD7n1dJhYW,0.662,0.938,2,-2.495,1,0.0487,0.0407,0.152,0.0625,0.724,107.999
